Regione,eta,maschi,femmine
Piemonte,0,14145,13640
Piemonte,1,14705,14291
Piemonte,2,15653,15180
Piemonte,3,16397,15656
Piemonte,4,17102,15731
Piemonte,5,17441,16740
Piemonte,6,18050,17015
Piemonte,7,18764,17650
Piemonte,8,19087,17611
Piemonte,9,19364,18213
Piemonte,10,19847,18804
Piemonte,11,20113,18823
Piemonte,12,20004,18908
Piemonte,13,19762,18588
Piemonte,14,19675,18479
Piemonte,15,19753,18360
Piemonte,16,19757,18497
Piemonte,17,19259,18458
Piemonte,18,19628,18381
Piemonte,19,20637,19002
Piemonte,20,20734,18520
Piemonte,21,21331,18762
Piemonte,22,20902,19012
Piemonte,23,20810,18639
Piemonte,24,20627,18781
Piemonte,25,20662,19165
Piemonte,26,20976,19503
Piemonte,27,21675,20284
Piemonte,28,21786,20520
Piemonte,29,22538,20963
Piemonte,30,22017,20897
Piemonte,31,22635,21550
Piemonte,32,21795,21395
Piemonte,33,22323,21565
Piemonte,34,22741,22372
Piemonte,35,22748,22647
Piemonte,36,23519,23286
Piemonte,37,24452,24252
Piemonte,38,24403,24499
Piemonte,39,25117,25154
Piemonte,40,25911,25657
Piemonte,41,27565,27588
Piemonte,42,28821,29281
Piemonte,43,30200,30574
Piemonte,44,31976,32480
Piemonte,45,33644,33676
Piemonte,46,33715,33500
Piemonte,47,34413,34456
Piemonte,48,34671,35322
Piemonte,49,34385,34910
Piemonte,50,35587,36165
Piemonte,51,35346,35893
Piemonte,52,35206,35985
Piemonte,53,35622,36102
Piemonte,54,35273,36100
Piemonte,55,35588,36833
Piemonte,56,33214,34336
Piemonte,57,31664,33346
Piemonte,58,31334,32928
Piemonte,59,30245,31931
Piemonte,60,29727,30853
Piemonte,61,28732,30166
Piemonte,62,28451,30065
Piemonte,63,27618,29505
Piemonte,64,27097,28873
Piemonte,65,26451,28710
Piemonte,66,25577,27574
Piemonte,67,25523,27418
Piemonte,68,24613,27272
Piemonte,69,25514,28492
Piemonte,70,25785,28591
